weather,atemp,datetime_year,datetime_hour,is_weekend,temp_poly_1,temp_poly_2,humidity_poly_1,humidity_poly_2,windspeed_poly_1,windspeed_poly_2,season_Spring,season_Summer,season_Fall,holiday_X1,workingday_X1,datetime_dow_Mon,datetime_dow_Tue,datetime_dow_Wed,datetime_dow_Thu,datetime_dow_Fri,datetime_dow_Sat,datetime_month_Feb,datetime_month_Mar,datetime_month_Apr,datetime_month_May,datetime_month_Jun,datetime_month_Jul,datetime_month_Aug,datetime_month_Sep,datetime_month_Oct,datetime_month_Nov,datetime_month_Dec
1,11.365,2011,0,0,-0.0117736373834912,0.00472449823081225,-0.00293171190115277,-0.00805331469578348,0.0155001837542995,0.00420826836945519,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13.635,2011,1,0,-0.0117736373834912,0.00472449823081225,-0.00293171190115277,-0.00805331469578348,-0.0150260095382433,0.0151026795316004,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13.635,2011,2,0,-0.0117736373834912,0.00472449823081225,-0.00293171190115277,-0.00805331469578348,-0.0150260095382433,0.0151026795316004,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12.88,2011,3,0,-0.0117736373834912,0.00472449823081225,-0.00293171190115277,-0.00805331469578348,-0.00211077908569103,-0.00521352207537233,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12.88,2011,4,0,-0.0117736373834912,0.00472449823081225,-0.00293171190115277,-0.00805331469578348,-0.00211077908569103,-0.00521352207537233,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.365,2011,5,0,-0.0127823641683446,0.00720883554224558,-0.000939538632991154,-0.00862320595880268,0.00258495330174728,-0.00688936939920657,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10.605,2011,6,0,-0.013791090953198,0.00989698561060822,-0.000939538632991154,-0.00862320595880268,0.00258495330174728,-0.00688936939920657,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10.605,2011,7,0,-0.013791090953198,0.00989698561060822,-0.00342975521819317,-0.00779428446589775,0.00258495330174728,-0.00688936939920657,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10.605,2011,8,0,-0.013791090953198,0.00989698561060822,-0.00342975521819317,-0.00779428446589775,0.00728068568918558,-0.00551983010750955,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,11.365,2011,9,0,-0.0127823641683446,0.00720883554224558,-0.00492388516931438,-0.00673745598232633,0.00258495330174728,-0.00688936939920657,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
